#File	PNG-Size	WebP-Size	WebP-DSSIM	JPEG-Size	JPEG-DSSIM	JPEG-Quality
icons/uJiLPvOljVaxYeSTNpByMfXp0qCbAcr8qsYa7NjTPUKVPxEp3k3ScBt8txKHcfv9DS0.png	35967	4374	0.1215	7365	0.1199	87
icons/1CWY9j8l0vDvn9WuqSGuFb6FZ3HKYxBbx6uH3Y6GCtOBNX-C9W-UcSoRGHT3XKWmVQ.png	7940	1108	0.0357	3278	0.0386	90
icons/lY8zuVC27McVq7UzUrHJwk2RykV7x4jbqXbW34Q31HbRm-h0wbUZl9q5FNGtlUSlyrYN.png	9860	1768	0.0705	4528	0.0659	90
icons/BrP6PsBdWPdLpkU1_11SIwI4aqR-E-JWzaDUN0-p1nHGsY5PRscibLwwbEL6dqVbyg.png	7180	1024	0.0594	3036	0.0566	85
icons/2Dx5hHGpP5KKQDd78wH71gU6Wd7q-h_ivsuIdkowZHcgqrk9HeBrSI9hxoXaNoQDigY.png	11087	2666	0.0647	7378	0.0547	95
icons/28F2Udor45mQn3tWAmLCNzww-UZWFc2V2ucWz6HX3EVRSsOlCQd-oub7e6cqz5GQhDA.png	7805	1878	0.0419	4346	0.0379	90
icons/8zy7KCJgr61JkgsCmcioiiQ6qePG9A4FPKJOAZKdx6Nt37iPeFdkqWYS8UvCtqOnNg.png	17668	3982	0.0658	5686	0.0721	90
icons/t9UyElx016VCrWaxrcB8ZZ-Hj1YHiMfPC0W-zNzTfxZDZbmxji5Ig8k133RqQcB5hQ.png	6215	1890	0.1654	2911	0.1567	90
icons/vOcDzf9W3uDvk1PLao71ulcez4DIlB_8ZuKEvSbRTwnPJNNBuB3GG0-rtURHfaJECbU.png	28115	2282	0.0796	4363	0.066	81
icons/opvjV_RXIqLV1wm_0XOpYQbIPKj8Vy0JwmYExQb_zi6s8zyNmEzqF5hHeXVbSVdb9vk.png	7622	1208	0.0503	3540	0.0476	90
icons/blepDpGWwmxpG1ZKV9ApEoG9SFVw7VpPhHr6JEo7UwWHhQHVJGhsR5hhYDUE_FKQsl0.png	22958	2226	0.1516	4309	0.1457	85
icons/qDHMKg_5t9QE4UzF7bNXX5cFID7T3v1LYKRBpZGQbXjbXgJGiimoOxCcQXRSraLKxdSE.png	8474	1704	0.0723	1857	0.0693	90
icons/cGQ-BUuVT2m3Sc0TyqWWNKqLMRxTLD9ulyJQICtRZD6WSi2-d48DB4ce6GfYGp3mvh0.png	16778	3274	0.1154	6691	0.1099	92
icons/MWt48z0gfR5L2zK61rUIlCiTq0oj-ZmJDVfW0FN1zH8T1qydQEdhHIEiG_Op9B1IS2c.png	14350	1450	0.0325	4155	0.0229	90
icons/aBagioI8auFV0kmlEbWABfiY9xRqFkncmE5VhZ5lZdJqKXjp0WbgwB9UXlA-W5QYz23q.png	25353	3486	0.1432	6157	0.1523	85
icons/b_QXeKyVJnyggZY_XuvSCoDB-3mJ_iNh2snW36tNJ2xVjCMiE_hDhnq9q-2s3c5WthO2.png	8664	4310	0.0528	5814	0.0573	95
icons/vSTRiW9po3yK-ccDt3U-vGPCE2BxoDXaT2djaaSpFPwGnE5Tw1MjYdVPvG0v2sm44FA.png	25712	2242	0.1031	5948	0.0944	90
icons/jDJbXtsJ09FBlW6PMdePrbMwFRnIWDPVGPl1582_MAsh6qhsmrmZU7H0xM_7o7TFMw.png	23101	3622	0.0516	7172	0.0418	90
icons/bCG0SUlv7eNDv4SVMMXkSAvnlaW_VFiVAE-m25w9Kqjpf-fpKRe-jsnCpG13rlon3SU.png	11554	1638	0.0446	3945	0.0446	90
icons/mrAn8EViPR5F6ojyUSbFXsEGGWyFUr67nRCEPBh5CGZ3XtBR1PIQBvHuQsXYZTNweg.png	18991	4356	0.1172	8621	0.1113	90
icons/bh0HhShCPTNyp4iHGk-eIYlqHetCKTDbBpK0gSh8d5xEWAJYKxHu3d4Lor14hP7o6Kk.png	36422	4508	0.1479	6806	0.1476	85
icons/EwMN69S_AdLZa9qb8FO5A37e86bVvEeDZiNRNIAjmzpggRkKQpd-XxQmma3NslzzJw.png	24229	3198	0.1316	6707	0.1351	90
icons/ODi3ae4gyUzKQ9D9O-qNQo-4ZLyMI2YS9wof9_rBhBT7hUJogSsZFpqFiIcHxmdpwXM.png	13936	3622	0.0563	4656	0.0652	90
icons/QybD2FeMjj4IRkrhf9LANL-ax6bD2fa2b7i3fcqazl54s8xq-_p0q9oea-L0lYcLFks.png	30896	4678	0.1544	7800	0.1552	87
icons/BsXFWdRG5PRk73v8Ba7qdDhb4DMS1LH3yYGuccGczCsFAyRpCUO6UKYJlFSHVw_4TQ.png	3797	886	0.2329	1813	0.2367	91
icons/QhN-5D_pJbFC-rj4uUl00TSfJ7dfQWa0guoYcOiU6MOxvtFisNAaEt2X838gvarE0KE.png	10629	2396	0.0994	6923	0.0899	95
icons/JNa3HWFACivYnQjlJ3Vof4cS-V2Vb5KYztDXa-_WDvJKrzBs_Mw3nwNErHEx3fpVhXo.png	26259	2406	0.0943	5325	0.091	90
icons/nQ4Wy2JjuXcvsj48MxXwe3oCdhNlEGJ8GhRDxTGxht6FmEKYf9UoRbEkWTQhNP8fVGzq.png	10838	3294	0.0297	5822	0.0254	90
icons/qokxWXIlVNyJdXW62tpEyZcRLzLrU625vqsK2flbIg-6aFliVAr4CxdecWYIppUf3kA.png	13763	3770	0.1398	8037	0.1328	90
icons/epFKFmKjQ6grnSAxisGcQTah5wYVXiPH-Sc-l_U8jzxDw2rJXpZeR_vydM1Lk_1VlNs.png	17924	2978	0.121	5519	0.1301	85
icons/OzSoarzM_cQ3VNVB2KdDJEUHbV87InOkzD7nZxwME-igeLzXZmVZpGdG4rI1DKntmyg.png	12485	2384	0.0608	4942	0.0575	90
icons/YfTYADwgVs14zTmMUGeG6HKpciS1xir_nctdQeLSE1btQaz_EKPybEFnj0QxWN9t1lo.png	20243	3576	0.0756	5593	0.0708	90
icons/Z3bomI07M9O8VONfn4tpA4gifGV8Ixe0mM-Er7iimU9HPC1jMv8a1eXNpVkqJCiF0DY.png	23682	5164	0.1811	9380	0.1816	90
icons/Lm3rPKfKURVnWRtN7hiWwoQsY9TM10EhCn48G98kzucnFNz9DprpxrsFTxFSJiAyHz3I.png	11823	1030	0.0231	2822	0.0257	90
icons/g_u6VOyz7qSIF6G4lGWg5NwPTZv8Xdx3sjA7jUwZBTfBGahISukuP8wsKWf1EQfnw7k.png	25957	3970	0.1895	5890	0.1985	82
icons/afWJShWeUW2wL8VJlGpJNrGRWrU8JroHMKyohQ5wpAZA0QeTfMYo_e0JydUzmHicIJ8.png	18725	4446	0.0889	8240	0.0911	90
icons/D7xDLR39Oxz9UJ8-iS5sf-l368InBUOQDnghVaucZPg34OgNUc38qv864qBC5kMkP8A.png	26162	3240	0.0714	4892	0.0739	85
